NACA 0009
 0.6222470    -0.0322891
 0.6318139    -0.0316586
 0.6413817    -0.0310175
 0.6509503    -0.0303658
 0.6605196    -0.0297036
 0.6700894    -0.0290312
 0.6796597    -0.0283488
 0.6892304    -0.0276564
 0.6988013    -0.0269542
 0.7083724    -0.0262425
 0.7179435    -0.0255210
 0.7275146    -0.0247902
 0.7370855    -0.0240501
 0.7466562    -0.0233005
 0.7562266    -0.0225418
 0.7657966    -0.0217739
 0.7753660    -0.0209968
 0.7849347    -0.0202107
 0.7945028    -0.0194153
 0.8040700    -0.0186110
 0.8136363    -0.0177974
 0.8232016    -0.0169748
 0.8327657    -0.0161430
 0.8423286    -0.0153020
 0.8518902    -0.0144517
 0.8614503    -0.0135921
 0.8710087    -0.0127232
 0.8805654    -0.0118448
 0.8901198    -0.0109569
 0.8996713    -0.0100595
 0.9092186    -0.0091525
 0.9187590    -0.0082359
 0.9282872    -0.0073106
 0.9377916    -0.0063771
 0.9472485    -0.0054379
 0.9566093    -0.0044978
 0.9657797    -0.0035667
 0.9745923    -0.0026622
 0.9827992    -0.0018112
 0.9901282    -0.0010441
 0.9964056    -0.0003816
 1.0000000     0.0000000
